transaction_id,user_id,amount,tax_amount,timestamp
4749,U737,123,22.14,2026-07-20 10:38:44.347616
4090,U584,1301,234.18,2026-07-20 10:38:44.347623
7101,U521,2720,489.6,2026-07-20 10:38:44.347631
3209,U269,716,128.88,2026-07-20 10:38:44.347638
4519,U429,3321,597.78,2026-07-20 10:38:44.347645
7040,U988,1634,294.12,2026-07-20 10:38:44.347652
4761,U503,3966,713.88,2026-07-20 10:38:44.347659
7533,U518,2008,361.44,2026-07-20 10:38:44.347666
3948,U404,431,77.58,2026-07-20 10:38:44.347673
6232,U516,2895,521.1,2026-07-20 10:38:44.347680
5816,U775,1890,340.2,2026-07-20 10:38:44.347688
6168,U161,2794,502.92,2026-07-20 10:38:44.347695
2737,U796,1169,210.42,2026-07-20 10:38:44.347703
9130,U353,3695,665.1,2026-07-20 10:38:44.347710
8506,U881,3757,676.26,2026-07-20 10:38:44.347717
1907,U659,4120,741.6,2026-07-20 10:38:44.347726
7792,U513,3781,680.58,2026-07-20 10:38:44.347733
1111,U750,4984,897.12,2026-07-20 10:38:44.347740
