transaction_id,user_id,amount,tax_amount,timestamp
9815,U245,1460,262.8,2026-07-21 10:29:10.671410
9703,U490,1432,257.76,2026-07-21 10:29:10.671417
1549,U616,4045,728.1,2026-07-21 10:29:10.671424
1994,U533,1394,250.92,2026-07-21 10:29:10.671431
5367,U727,3293,592.74,2026-07-21 10:29:10.671437
1995,U360,2070,372.6,2026-07-21 10:29:10.671444
8762,U891,634,114.12,2026-07-21 10:29:10.671451
6315,U903,660,118.8,2026-07-21 10:29:10.671458
1111,U825,1075,193.5,2026-07-21 10:29:10.671465
6468,U829,902,162.36,2026-07-21 10:29:10.671473
1053,U366,2373,427.14,2026-07-21 10:29:10.671480
5603,U424,3364,605.52,2026-07-21 10:29:10.671487
3753,U697,4623,832.14,2026-07-21 10:29:10.671495
3707,U511,3383,608.94,2026-07-21 10:29:10.671506
4873,U434,948,170.64,2026-07-21 10:29:10.671513
8133,U210,4152,747.36,2026-07-21 10:29:10.671520
7283,U494,2169,390.42,2026-07-21 10:29:10.671526
5074,U950,3333,599.94,2026-07-21 10:29:10.671533
6220,U722,150,27.0,2026-07-21 10:29:10.671540
